offloading_level,onset_time_ms,developmental_profile,seed,subject_id,ODI,PDI,CLI,AEI,final_synaptic_density,density_change,final_firing_rate_e,final_firing_rate_i,mean_active_weight,n_active_synapses,total_spikes_e,mean_neuromodulation,final_offloading,mean_gamma
0.0,1000.0,ENFANCE_PRECOCE,42,ENFANCE_PRECOCE_0.0_1000.0_0,0.0,0.16459726582733783,0.0,0.34058281856034855,0.2919722960679179,0.05,14.47316722020311,14.355516216100614,0.4900902817929015,13955,44569,1.0,0.0,2.0
0.0,1000.0,ENFANCE_PRECOCE,43,ENFANCE_PRECOCE_0.0_1000.0_1,0.0,0.15786440224265036,0.0,0.29201399609451345,0.2619443151242735,0.05,13.555283147625799,11.104217322221468,0.5162216240012536,14186,49018,1.0,0.0,2.0
0.0,1000.0,ENFANCE_PRECOCE,44,ENFANCE_PRECOCE_0.0_1000.0_2,0.0,0.16970393292881042,0.0,0.3447193751003883,0.22852356535218613,0.05,14.193147317830642,12.157851395023965,0.4814458072057238,17244,43229,1.0,0.0,2.0
0.0,1000.0,ENFANCE_PRECOCE,45,ENFANCE_PRECOCE_0.0_1000.0_3,0.0,0.20193766084088444,0.0,0.3323933301759575,0.292033177166239,0.05,16.6956208331121,12.895794946556462,0.3895603074048934,14906,43670,1.0,0.0,2.0
0.0,1000.0,ENFANCE_PRECOCE,46,ENFANCE_PRECOCE_0.0_1000.0_4,0.0,0.18073331490134267,0.0,0.3066098229851904,0.2723524583581099,0.05,13.701173749235645,10.65136124736214,0.521332395657726,14831,40196,1.0,0.0,2.0
0.0,1000.0,ADOLESCENCE_PRECOCE,42,ADOLESCENCE_PRECOCE_0.0_1000.0_0,0.0,0.1047157777208151,0.0,0.42418090281684406,0.2097672680213851,0.05,14.937619059578527,11.257139053781987,0.5759394665429204,15504,51368,1.0,0.0,1.2
0.0,1000.0,ADOLESCENCE_PRECOCE,43,ADOLESCENCE_PRECOCE_0.0_1000.0_1,0.0,0.1280452068268019,0.0,0.4718051063501006,0.23853680504137864,0.05,13.583573924341387,12.23770207098323,0.5440515655872671,12727,51123,1.0,0.0,1.2
0.0,1000.0,ADOLESCENCE_PRECOCE,44,ADOLESCENCE_PRECOCE_0.0_1000.0_2,0.0,0.10443096513470108,0.0,0.5345141211924016,0.25833331587142294,0.05,13.7054599606714,11.302632757972685,0.5374127209915774,16754,56498,1.0,0.0,1.2
0.0,1000.0,ADOLESCENCE_PRECOCE,45,ADOLESCENCE_PRECOCE_0.0_1000.0_3,0.0,0.11509469225729052,0.0,0.45965025583858155,0.27923399219187073,0.05,15.295632854335297,11.004412451472575,0.5066768730860097,15655,40299,1.0,0.0,1.2
0.0,1000.0,ADOLESCENCE_PRECOCE,46,ADOLESCENCE_PRECOCE_0.0_1000.0_4,0.0,0.12077058438727545,0.0,0.4777786760932029,0.24665481280779789,0.05,17.41492840378909,9.784101734502416,0.5385964121332382,18662,53465,1.0,0.0,1.2
0.0,1000.0,ADULTE_JEUNE,42,ADULTE_JEUNE_0.0_1000.0_0,0.0,0.04840850742436263,0.0,0.6405077728583695,0.27314462328906325,0.05,15.108815149041373,11.430489156156971,0.4812247582603685,14066,46654,1.0,0.0,0.8
0.0,1000.0,ADULTE_JEUNE,43,ADULTE_JEUNE_0.0_1000.0_1,0.0,0.06498681872916535,0.0,0.43725771874846475,0.2625087570255724,0.05,13.797585108828283,14.36153411491389,0.4599023509596171,18957,39544,1.0,0.0,0.8
0.0,1000.0,ADULTE_JEUNE,44,ADULTE_JEUNE_0.0_1000.0_2,0.0,0.06266749609507061,0.0,0.780989263242651,0.21896496618298597,0.05,14.437988702919093,12.868010656171675,0.5584140141332377,13874,47514,1.0,0.0,0.8
0.0,1000.0,ADULTE_JEUNE,45,ADULTE_JEUNE_0.0_1000.0_3,0.0,0.06631487242703996,0.0,0.7687315440959357,0.24341696419696093,0.05,14.318065923469963,11.802523549879561,0.500528034416736,16579,53412,1.0,0.0,0.8
0.0,1000.0,ADULTE_JEUNE,46,ADULTE_JEUNE_0.0_1000.0_4,0.0,0.05032132987263858,0.0,0.7656804800179006,0.2507040253188742,0.05,16.848256750482523,13.579176873564851,0.5263409796499118,15388,49893,1.0,0.0,0.8
0.0,3000.0,ENFANCE_PRECOCE,42,ENFANCE_PRECOCE_0.0_3000.0_0,0.0,0.14126730788365918,0.0,0.3314575702221834,0.26709552915948476,0.05,16.352386564000025,10.81657185885719,0.5065534588936819,13949,47959,1.0,0.0,2.0
0.0,3000.0,ENFANCE_PRECOCE,43,ENFANCE_PRECOCE_0.0_3000.0_1,0.0,0.17480108171917977,0.0,0.35792337062512936,0.3017753300301686,0.05,14.755736316821313,11.890923706274313,0.564285798537123,15138,50349,1.0,0.0,2.0
0.0,3000.0,ENFANCE_PRECOCE,44,ENFANCE_PRECOCE_0.0_3000.0_2,0.0,0.1682558084592881,0.0,0.32834556884006805,0.3295462429298909,0.05,17.678480685810147,10.632698202116654,0.38066133824249065,13974,54143,1.0,0.0,2.0
0.0,3000.0,ENFANCE_PRECOCE,45,ENFANCE_PRECOCE_0.0_3000.0_3,0.0,0.16388503632384538,0.0,0.34826967878006854,0.2509864464237712,0.05,12.15882724459312,12.034480795920665,0.49306797473472525,13291,49812,1.0,0.0,2.0
